,type,reference,price,neighbourhood,area,rooms,plant,lift,parking,district
548,Flat,/en/inmueble/100762006/,655000,la Dreta de l'Eixample,84,2,3.0,lift,no,Eixample
549,Flat,/en/inmueble/91841904/,350000,la Maternitat i Sant Ramon,80,3,1.0,no lift,no,Les Corts
551,Penthouse,/en/inmueble/101187702/,645000,les Corts,129,4,,no lift,no,Les Corts
552,Flat,/en/inmueble/101594638/,428000,les Corts,75,3,5.0,lift,no,Les Corts
554,Flat,/en/inmueble/101624756/,449900,el Fort Pienc,100,3,6.0,lift,no,Eixample
556,Duplex,/en/inmueble/99349452/,425000,la Barceloneta,117,3,,no lift,no,Ciutat Vella
557,Flat,/en/inmueble/101571308/,2400000,la Dreta de l'Eixample,197,5,3.0,lift,no,Eixample
558,Flat,/en/inmueble/101583108/,690000,Vallcarca i els Penitents,160,3,1.0,lift,no,Gràcia
559,Flat,/en/inmueble/98680063/,300000,la Sagrada Família,88,3,,no lift,no,Eixample
560,Flat,/en/inmueble/99475987/,1690000,Sant Gervasi - Galvany,266,4,4.0,lift,no,Sarrià-Sant Gervasi
561,Duplex,/en/inmueble/101617656/,1150000,les Corts,282,5,9.0,lift,yes,Les Corts
562,Penthouse,/en/inmueble/99089125/,685000,la Sagrada Família,93,3,5.0,lift,no,Eixample
563,Flat,/en/inmueble/101624329/,140000,Ciutat Meridiana,64,3,,no lift,no,Nou Barris
564,Penthouse,/en/inmueble/100383744/,475000,l'Antiga Esquerra de l'Eixample,84,2,6.0,lift,no,Eixample
565,Flat,/en/inmueble/101607533/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
566,Flat,/en/inmueble/101625232/,248000,la Sagrada Família,56,3,4.0,lift,no,Eixample
567,Penthouse,/en/inmueble/101600190/,279800,Sant Andreu,59,3,5.0,lift,no,Sant Andreu
568,Flat,/en/inmueble/101617390/,379000,la Sagrera,118,4,4.0,lift,no,Sant Andreu
569,Flat,/en/inmueble/99926442/,76000,el Besòs i el Maresme,54,3,1.0,no lift,no,Sant Andreu
572,Flat,/en/inmueble/101625142/,279000,Sants,86,3,3.0,no lift,no,Sants-Montjuïc
573,Flat,/en/inmueble/101625149/,925000,les Corts,205,5,1.0,lift,no,Les Corts
577,Flat,/en/inmueble/101624348/,620000,Sant Antoni,136,3,6.0,no lift,no,Eixample
579,Flat,/en/inmueble/101611679/,428000,les Corts,80,3,6.0,lift,no,Les Corts
580,Flat,/en/inmueble/101525040/,1290000,la Dreta de l'Eixample,171,4,,no lift,yes,Eixample
581,Flat,/en/inmueble/101611342/,750000,la Vila Olímpica del Poblenou,165,4,2.0,lift,no,Sant Martí
582,Flat,/en/inmueble/101617932/,847500,el Raval,163,3,4.0,lift,no,Ciutat Vella
583,Flat,/en/inmueble/101625246/,244900,la Trinitat Vella,170,4,0.0,no lift,no,Sant Andreu
584,Penthouse,/en/inmueble/101604774/,559200,la Sagrada Família,97,2,5.0,lift,yes,Eixample
586,Flat,/en/inmueble/101620446/,240000,Porta,76,3,3.0,lift,no,Nou Barris
587,Flat,/en/inmueble/101618197/,399000,les Corts,91,3,4.0,lift,no,Les Corts
588,Flat,/en/inmueble/99726971/,295000,Vallcarca i els Penitents,86,4,1.0,lift,yes,Gràcia
589,Flat,/en/inmueble/101096357/,920000,la Dreta de l'Eixample,105,2,3.0,lift,no,Eixample
590,Flat,/en/inmueble/101610452/,315000,la Sagrada Família,80,4,1.0,lift,no,Eixample
591,Flat,/en/inmueble/101353937/,640000,la Dreta de l'Eixample,117,3,3.0,lift,no,Eixample
592,Flat,/en/inmueble/101625005/,240000,la Guineueta,65,4,1.0,lift,no,Nou Barris
593,Flat,/en/inmueble/101605956/,299000,Sants,63,2,6.0,lift,no,Sants-Montjuïc
594,Flat,/en/inmueble/101619576/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
595,Flat,/en/inmueble/101614394/,699000,la Nova Esquerra de l'Eixample,250,4,1.0,lift,no,Eixample
596,Flat,/en/inmueble/101610846/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
597,Duplex,/en/inmueble/101610257/,740000,les Corts,170,4,8.0,lift,no,Les Corts
599,Flat,/en/inmueble/101624633/,340000,el Camp d'en Grassot i Gràcia Nova,129,3,0.0,lift,no,Gràcia
602,Flat,/en/inmueble/100890343/,990000,Pedralbes,150,5,8.0,lift,yes,Les Corts
603,Flat,/en/inmueble/91871835/,2600000,Pedralbes,240,4,3.0,lift,yes,Les Corts
604,Flat,/en/inmueble/101613951/,319500,Provençals del Poblenou,96,3,1.0,lift,no,Sant Martí
605,Flat,/en/inmueble/101619111/,259000,Sants,62,3,1.0,lift,no,Sants-Montjuïc
606,Flat,/en/inmueble/97614928/,965000,Sant Gervasi - Galvany,290,4,4.0,lift,yes,Sarrià-Sant Gervasi
607,Flat,/en/inmueble/101474513/,3500000,la Dreta de l'Eixample,290,5,4.0,lift,no,Eixample
608,Flat,/en/inmueble/101612766/,405000,el Guinardó,93,3,2.0,lift,no,Horta-Guinardó
609,Flat,/en/inmueble/101602432/,750000,la Vila Olímpica del Poblenou,165,4,0.0,lift,yes,Sant Martí
610,Flat,/en/inmueble/101622905/,385000,la Dreta de l'Eixample,71,2,0.0,lift,yes,Eixample
